ST-CD	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANNUAL
PA-06	2007	3.19	2.24	3.16	3.64	1.92	2.98	3.71	3.99	2.86	4.45	4.05	4.38	40.58
PA-06	2008	1.67	5.03	5.85	2.65	2.73	3.81	4.48	2.71	3.66	3.08	1.85	4.04	41.56
PA-06	2009	2.08	1.04	2.16	2.46	4.69	4.85	4.78	5.09	2.29	4.15	1.52	2.79	37.9
PA-06	2010	3.31	2.03	3.35	2.19	2.7	3.56	3.83	3.46	2.58	7.21	2.62	2.89	39.74
PA-06	2011	1.51	3.9	5.46	8.87	6.79	3.02	2.21	6.6	11.92	4.64	3.03	3.25	61.2
PA-06	2012	2.97	1.15	2.13	2.47	4.26	3.23	3.52	3.82	4.85	4.35	0.94	5.34	39.04
PA-06	2013	2.44	1.78	1.36	3.06	3.34	4.92	5.02	3.08	3.4	2.47	3.43	3.02	37.32
PA-06	2014	2.08	2.64	2.54	3.04	4.73	3.88	3.45	4.24	1.93	3.35	2.03	2.58	36.5
PA-06	2015	1.53	1.47	1.76	4.28	2.42	6.53	4.32	2.65	3.39	2.8	2.36	3.1	36.61
PA-06	2016	1.74	4.09	1.46	2.42	-999	-999	-999	-999	-999	-999	-999	-999	-999
PA-07	1895	3.91	0.89	1.75	2.47	2.67	4.43	2.62	3.42	2.23	1	2.49	3.18	31.07
PA-07	1896	1.65	3.71	3.64	1.69	2.41	4.96	5.93	2.46	5.05	3.33	2.7	1.25	38.77
PA-07	1897	2	2.58	3.59	3.11	3.95	2.81	5.54	2.91	2.88	0.96	4.75	3.29	38.37
PA-07	1898	3.88	1.61	5.7	2.51	4.06	3.24	2.82	5.37	1.11	5.54	2.58	2.79	41.2
PA-07	1899	2.55	2.9	4.13	1.62	4.17	3.31	3.14	3.26	3.82	1.79	2.87	3.46	37.02
PA-07	1900	2.63	3.45	3.7	1.37	2.48	3.01	3.52	3.56	1.2	3.69	4.77	1.78	35.16
PA-07	1901	1.9	1	3.42	5.52	5.89	3.76	3.52	7.16	3.05	0.96	2.66	5.05	43.9
PA-07	1902	2.41	2.64	3.78	3.39	1.89	6.38	7.7	1.88	3.17	3.23	1.28	4.57	42.32
PA-07	1903	3.19	3.84	4.4	3.25	1.85	6.07	5.15	5.76	2.22	3.79	2.75	2.05	44.33
PA-07	1904	3.5	2.73	4.87	4.32	3.63	3.57	5.28	3.38	2.55	2.31	0.63	2.18	38.94
PA-07	1905	3.13	1.28	3.84	2.54	2.93	5.27	5.3	4.41	2.64	4.08	2.48	3.89	41.81
PA-07	1906	2.34	0.91	4.03	2.64	3.08	3.06	4.15	4.84	2.77	3.91	1.35	3.28	36.38
PA-07	1907	4.26	1.35	4.08	2.54	2.72	5.31	2.68	2.07	5.6	2.96	2.5	3.39	39.46
PA-07	1908	2.81	4.48	5	3.58	8.04	2.15	4.27	2.72	1.15	1.15	0.97	3.11	39.44
PA-07	1909	2.73	4.8	2.7	6.66	3.09	5.17	1.8	2.19	2.18	2.44	0.93	2.7	37.4
PA-07	1910	5.91	3.56	0.66	5.46	2.86	3.11	3.21	2.4	5.09	1.82	2.21	2.57	38.86
PA-07	1911	3.38	2.44	2.63	3.46	2.17	4.23	2.01	6.99	5.49	4.54	2.24	3.1	42.68
PA-07	1912	1.66	2.64	4.05	4.41	3.59	2.09	4.65	5.13	5.06	2.48	2.07	2.52	40.34
PA-07	1913	5.51	1.64	4.92	3.4	3.79	2.82	5.05	1.93	2.59	5.33	3.05	2.57	42.6
PA-07	1914	3.09	2.8	2.66	4.77	4.19	3.47	2.65	3.54	0.98	2.66	1.54	3.92	36.27
PA-07	1915	5.64	3.13	1.31	1.15	4.11	4.13	5.16	5.21	2.52	2.86	1.98	3.76	40.94
PA-07	1916	2.68	2.9	4.72	4.25	4.09	8.95	2.53	2.2	3.92	2.23	2.21	2.17	42.85
PA-07	1917	3.14	1.45	3.28	1.99	3.78	5.67	4.33	5.09	2.14	5.94	0.49	1.43	38.73
PA-07	1918	2.84	2.65	3.05	3.68	5.41	4.16	2.68	4.42	4.28	3.99	1.71	2.54	41.41
PA-07	1919	1.77	1.69	2.9	2.47	7.67	3.71	4.62	5.37	1.6	5.1	3.5	2.1	42.51
PA-07	1920	2.54	1.85	2.53	4.26	1.77	5.01	3.75	4.17	3.82	1.34	3.64	2.51	37.18
PA-07	1921	2.29	2.3	3.29	2.86	4.72	2.67	3.91	4.03	5.97	1.9	5.85	2.05	41.84
PA-07	1922	2	1.81	3.77	3.27	2.95	5.12	3.59	3.18	1.57	2.81	1.15	2.93	34.16
PA-07	1923	4.03	1.97	2.08	2.46	4.38	2.53	3.95	2.46	2.66	1.57	2.51	5.32	35.92
PA-07	1924	4.27	2.41	2.29	4.04	5.9	5.13	3.16	3.3	5.33	0.17	1.17	2.13	39.29
PA-07	1925	3.57	2.12	2.36	1.91	4.1	2.98	4.76	1.95	2.79	3.66	3.38	1.54	35.11
PA-07	1926	2.43	3.5	2	1.95	1.14	4.31	3.52	5.88	6.25	4.09	3.67	2.2	40.93
PA-07	1927	2.84	3.77	3.59	3.93	4.75	3.21	3.94	3.21	1.57	5.11	5.76	4.3	45.99
PA-07	1928	1.9	3.33	3.12	5.95	1.77	7.85	5.61	3.65	1.55	2.41	2.65	1.04	40.83
PA-07	1929	4	2.57	2.53	6	5.37	3.44	3.45	1.63	3.18	5.95	3.25	2.88	44.24
PA-07	1930	2.49	2.45	3.04	3.34	2.57	4.67	2.15	0.85	1.96	0.81	1.2	2.12	27.64
PA-07	1931	1.23	1.89	2.39	3.95	7.06	3.51	5.4	3.74	3.39	1.35	2.09	3.44	39.44
PA-07	1932	5.04	1.57	3.55	2.09	3.53	3.07	3.48	2.64	1.4	4.42	3.95	1.68	36.42
PA-07	1933	1.72	1.89	5.12	3.95	6.51	2.77	3.93	5.63	3.72	1.93	1.82	2.96	41.96
PA-07	1934	2.53	1.03	2.98	2.74	1.37	3.41	3.27	4.58	5.28	1.84	3.59	2.06	34.7
PA-07	1935	2.85	2.99	2.61	2.16	3.71	3.91	6.02	3.32	2.74	2.24	3.21	3	38.75
PA-07	1936	3.36	1.59	8.22	2.63	2.18	3.95	2.6	5.63	2.25	4.26	2.84	3.48	43
PA-07	1937	6.02	2.11	1.65	5.98	3.48	3.88	4.01	5.84	1.71	5.65	2.32	3.13	45.78
PA-07	1938	2.58	3.12	3.51	3	4	4.19	3.4	2.11	3.32	1.41	2.62	1.87	35.13
PA-07	1939	3.01	4.03	3.82	2.75	1.9	3.78	2.88	1.68	3.55	3.73	1.08	1.98	34.17
PA-07	1940	1.36	3.31	4.7	4.78	3.88	4.1	3.62	3.05	3.56	1.34	3.68	3.15	40.54
PA-07	1941	2.63	0.52	2.03	2.23	1.71	4.62	4.86	4.63	1.58	3.25	2.25	3.1	33.4
PA-07	1942	1.61	2.55	4.92	2.26	5.36	2.95	6.23	3.44	4.15	3.6	3.47	5.06	45.6
PA-07	1943	2.59	1.65	2.46	4.76	6.13	3.8	4.2	2.94	0.73	4.35	2.61	0.99	37.2
PA-07	1944	1.58	1.86	4.05	3.43	5.46	5.04	2.64	2.31	3.47	3.12	2.01	3.62	38.6
PA-07	1945	2.19	2.61	4.75	4.42	5.56	3.87	4.37	3.13	6.38	3.19	5.6	2.23	48.3
PA-07	1946	1.18	2.46	3.14	1.01	7.45	6.16	3.79	4.12	3.85	3.89	1.26	2.2	40.51
PA-07	1947	3.57	0.91	2.07	3.86	5.61	3.9	5.23	3.55	2.26	1.06	3.71	1.37	37.09
PA-07	1948	2.74	2.22	3.33	6.49	4.53	4.76	4.56	3.24	1.12	2.91	4.38	4.29	44.56
PA-07	1949	3.58	2.37	1.89	3.61	3.5	1.61	3.73	3.76	3.08	2.05	1.7	3.15	34.05
PA-07	1950	4.91	3.69	4.4	2.61	3.43	3.27	5.25	3.42	2.99	4.12	8.17	3.09	49.35
PA-07	1951	3.39	3.13	4.94	3.73	2.71	5.25	3.27	1.28	2.3	1.46	3.91	4.52	39.91
PA-07	1952	4.71	2.52	4	4.56	5.73	1.21	2.89	4.11	2.49	1.5	3.65	2.4	39.77
PA-07	1953	3.33	1.97	3.97	3.58	8.35	2.53	3.82	2.94	2.89	1.34	2.33	2.04	39.09
PA-07	1954	2.14	1.94	4.74	4.25	3.12	3.81	3.31	3.36	2.52	5.2	2.23	3.72	40.34
PA-07	1955	1.32	2.42	4.88	3.14	1.46	3.52	2.8	5.44	2.58	6.09	2.93	0.57	37.16
PA-07	1956	1.36	4.76	4.31	3.29	4.92	4.91	5.85	6.6	3.37	2.5	2.38	3.85	48.09
PA-07	1957	2.08	2	2.66	5.65	2.1	4.69	2.33	1.8	2.85	1.9	1.85	4.28	34.18
PA-07	1958	3.29	1.91	2.58	3.64	3.81	4.7	7.41	4.4	4.21	1.55	2.88	1.07	41.44
PA-07	1959	3.62	2.62	2.84	4.36	2.43	3.32	4.36	4.18	1.03	6.66	4.02	2.67	42.13
PA-07	1960	2.55	3.35	1.96	2.12	7.55	3.86	5.03	1.86	3.87	1.45	1.82	1.59	37
PA-07	1961	1.76	3.51	3.12	5.1	3.07	4.15	4.88	3.77	2.03	2.19	3.32	2	38.9
PA-07	1962	2.73	3.18	2.96	4.18	2.26	2.86	1.99	3.19	4.89	3.07	1.78	2.24	35.31
PA-07	1963	1.56	1.59	3.73	1.89	3.49	2.52	3.33	2.59	3.18	0.16	4.92	1.94	30.91
PA-07	1964	3.35	2.16	4.42	5.3	1.06	3.55	3.59	3.94	1.01	1.06	1.97	3.31	34.71
PA-07	1965	3.88	2.2	4.1	2.59	2.57	2.23	2.24	4.01	3.26	3.55	2.59	1.03	34.26
PA-07	1966	3.24	3.16	2.34	3.34	4.13	0.89	2.41	3.06	4.67	1.7	4.69	1.95	35.59
PA-07	1967	1.16	2.15	5.09	3.4	4.45	2.22	5.19	4.57	4.21	3.35	2.77	2.38	40.94
PA-07	1968	2.09	0.63	2.87	1.48	6.58	4.36	2.59	2.86	3.49	2.64	4.02	3.4	37.02
PA-07	1969	1.9	0.71	1.19	3.6	3.02	3.82	5.59	3.21	1.62	2.75	3.41	4.34	35.17
PA-07	1970	1.21	3.04	2.57	4.32	4.06	3.45	5.13	4.6	2.71	4.64	5.02	3.21	43.94
PA-07	1971	2.52	4.54	2.48	0.87	2.79	2.66	4.37	2.15	4.84	2	2.43	3.73	35.35
PA-07	1972	2.58	3.62	2.6	4.15	4.19	11.07	4.21	1.82	3.18	2.11	5.6	4.2	49.33
PA-07	1973	2.41	2.75	3.03	4.19	4.11	4.46	3.71	3.25	3.91	3.65	3.05	4.14	42.66
PA-07	1974	3.37	1.57	5.74	2.42	3.89	4.77	4.75	3.85	4.67	1.21	2.83	3.9	42.96
PA-07	1975	3.17	3.77	3.19	2.01	4.44	6.18	3.45	5.04	7.47	2.86	2.43	3.43	47.43
PA-07	1976	3.3	2.61	2.89	1.88	3.47	5.59	4.04	3.7	3.78	5.9	0.84	1.88	39.88
PA-07	1977	1.46	1.67	4.92	3.79	1.51	4.82	7.27	3.86	5.38	3.99	4.09	4.13	46.89
PA-07	1978	5.81	0.87	2.01	2.44	6.31	3.68	3.62	4.44	3.53	3.07	1.81	4.07	41.67
PA-07	1979	5.39	2.6	3.27	3.4	4.04	2.25	4.77	5.24	5.37	4.03	3.93	2.01	46.29
PA-07	1980	1	1.03	4.83	4.48	2.87	4.13	4.31	3.51	1.94	3.55	2.69	1.38	35.73
PA-07	1981	0.67	5.1	1.25	4.5	3.06	6.55	4.86	1.92	3.64	5.42	1.45	2	40.44
PA-07	1982	3.62	2.54	2.69	2.05	4.85	6.34	3.24	2.56	3.16	1.29	3.89	1.84	38.08
PA-07	1983	1.34	1.47	3.7	5	5.01	6.43	2.44	3.45	2.15	3.45	4.33	4.71	43.5
PA-07	1984	1.43	3.93	3.39	3.58	6.17	6.59	4.43	6.45	1.3	2.9	3.65	3.84	47.65
PA-07	1985	1.28	1.83	4.87	1.64	4.18	3.62	3.47	3.85	2.47	2.17	8.12	2.13	39.63
PA-07	1986	2.11	3.66	2.42	3.11	2.3	5.63	5.74	3.15	2.91	3.72	4.97	2.67	42.39
PA-07	1987	2.48	0.59	2.41	4.15	3.25	5.07	4.06	4.78	5.23	2.36	2.41	2.25	39.03
PA-07	1988	1.4	3.16	2.02	2.36	4.29	1.09	3.99	4.04	3.3	2.11	3.44	1.49	32.7
PA-07	1989	1.77	2.33	4.23	1.41	6.88	7.61	3.8	1.43	3.38	3.04	2.93	1.15	39.97
PA-07	1990	3.14	2.71	1.65	3.07	5.33	4.19	5.71	5.11	4.16	5.74	2.2	5.86	48.86
PA-07	1991	2.66	1.61	3.91	3.32	2.07	1.48	3.69	2.52	3.44	1.54	2.55	3.22	32.02
PA-07	1992	1.92	1.63	3.77	2.8	2.63	2.13	8.91	4.28	4.12	1.79	4.16	3.68	41.82
PA-07	1993	2.61	2.12	4.73	6.84	1.53	3.52	3.54	2.94	5.77	2.75	5.45	2.38	44.15
PA-07	1994	3.73	2.76	5.53	3.73	3.42	5.63	4.31	7.99	2.84	1.04	4.65	2.52	48.15
PA-07	1995	3.31	1.66	1.41	2.72	3.91	3.75	2.76	1.23	1.73	6.39	4.28	2.06	35.2
PA-07	1996	5.21	2.59	3.27	3.75	4.08	5.05	4.73	2.88	8.7	4.38	3.83	4.24	52.71
PA-07	1997	2.26	2.2	4	1.52	3.63	3.46	2.66	5.39	4	1.12	6.36	2.24	38.85
PA-07	1998	4	2.94	3.13	6.14	3.94	4.43	2.39	2.87	1.91	2.79	0.99	1.72	37.25
PA-07	1999	5.96	1.4	3.1	4.09	1.99	2.84	2.78	3.66	5.06	1.83	3.78	2.19	38.68
PA-07	2000	1.8	2.73	2.67	4.85	3.77	5.53	2.03	3.75	3.01	2.94	1.87	2.3	37.24
PA-07	2001	1.31	1.18	3.82	2.61	2.61	4.09	2.21	3.57	3.76	2.54	2.14	2.65	32.51
PA-07	2002	1.83	1.7	3.74	3.57	6.27	5.63	2.16	2.38	3.76	3.92	2.81	3.31	41.06
PA-07	2003	2.32	2.94	2.62	2.45	4.98	4.53	6.26	5.87	7.06	3.24	4.43	3.97	50.66
PA-07	2004	3.69	2.26	2.96	4.88	5.55	3.8	8.04	4.92	9.33	2.34	2.88	3.14	53.8
PA-07	2005	5.7	2.63	2.9	2.34	1.89	2.43	3.16	3.79	1.72	5.09	4.85	2.05	38.56
PA-07	2006	3.91	1.39	1.56	3.07	2.83	6.12	5.21	5.08	4.65	5.44	3.22	2.07	44.55
PA-07	2007	4.05	1.95	3.91	3.81	2.19	3.4	2.89	5.63	1.74	2.39	4.43	4.43	40.81
PA-07	2008	1.85	4.4	5.81	2.93	3.9	3.85	3.72	2.86	3.07	2.36	2.09	4.9	41.75
PA-07	2009	2.57	1.55	2.15	2.99	4.09	4.12	5.13	4.53	2.73	4.28	1.36	3.92	39.42
PA-07	2010	3.28	1.76	3.26	1.96	4.12	3.88	5.16	3.17	2.73	4.89	3.18	4.07	41.46
PA-07	2011	1.57	4.03	5.57	8.42	5.52	2.61	2.04	5.32	8.69	4.95	3.41	3.59	55.73
PA-07	2012	3.39	1.47	3.06	1.72	5.47	3.33	4.3	3.52	4.65	4.45	0.87	5.24	41.47
PA-07	2013	2.71	1.92	1.79	3.33	3.15	5.47	4.77	2.49	2.51	3.06	3.5	3.68	38.38
PA-07	2014	1.84	2.63	2.33	3.09	6.06	5.29	4.36	4.88	1.93	3.23	2.04	2.69	40.37
PA-07	2015	2.31	1.4	2.64	4.43	2.43	8.14	5.22	2.71	4.32	3.7	2.2	4.02	43.51
PA-07	2016	1.95	3.46	1.89	2.57	-999	-999	-999	-999	-999	-999	-999	-999	-999
PA-08	1895	3.74	0.86	2.09	2.79	2.33	4.23	2.86	2.65	1.85	1.1	1.75	2.66	28.9
PA-08	1896	1.48	3.18	3.55	1.91	2.64	5.58	6.12	2.35	5.14	2.46	3.13	1.1	38.63
PA-08	1897	1.76	3.99	3.48	3.19	3.91	3.25	4.6	2.8	2.57	1.06	5.04	3.33	38.99
PA-08	1898	4.25	1.51	5.1	2.15	4.8	2.44	2.97	6.48	1.26	6.56	2.56	2.8	42.87
PA-08	1899	2.76	3.87	4.61	1.68	5.1	3.28	3.09	3.6	3.99	1.41	2.73	2.65	38.77
PA-08	1900	2.3	3.57	3.61	1.5	2.61	4.21	4.13	3.47	1.26	2.73	4.49	1.82	35.7
PA-08	1901	1.99	0.87	3.94	5.83	6.04	3.97	4.28	6.35	2.89	0.63	2.47	5.39	44.66
PA-08	1902	2.87	2.84	4.64	4.06	1.64	5.5	4.82	1.95	2.45	4.32	1.68	4.96	41.71
PA-08	1903	3.54	4.37	3.9	3.52	2.09	5.91	4.98	5.12	2.16	3.24	1.9	1.49	42.23
PA-08	1904	3.09	2.26	3.67	3.66	3.01	4.07	5.19	2.9	2	1.91	0.68	2.29	34.73
PA-08	1905	3.09	1.37	3.84	2.31	3.4	5.37	5.64	5	2.4	4.11	2.34	3.48	42.36
PA-08	1906	2.66	1.09	4.28	2.61	2.58	4.44	3.54	7.24	1.78	3.22	1.09	4.02	38.55
PA-08	1907	4.66	1.88	5.19	2.54	3.13	5.71	3.73	3.45	5.51	2.05	3.39	3.59	44.83
PA-08	1908	3.06	4.59	5.82	3.52	7.46	2.54	4.26	2.68	1.23	1.09	0.8	2.66	39.7
PA-08	1909	2.47	4.11	2.48	5.55	2.43	4.68	2	3.31	2	2.99	0.59	3.07	35.69
PA-08	1910	5.63	2.76	0.55	4.57	2.91	4.9	2.25	2.09	4.39	1.46	1.5	2.12	35.13
PA-08	1911	3.88	2.01	2.72	3.9	1.98	4.64	1.92	7.76	5.92	4.13	2.26	3.53	44.64
PA-08	1912	1.66	2.47	5.36	3.89	3.88	4.42	6.37	3.66	5.78	1.88	1.83	2.69	43.89
PA-08	1913	4.2	1.39	3.95	2.76	4.8	2.35	3.89	2	3.08	6.45	3	2.67	40.54
PA-08	1914	3.14	3.32	2.36	4.82	2.65	4.53	3.3	2.87	0.92	2.36	1.59	4.05	35.92
PA-08	1915	5.24	3.54	1.27	1.57	4.84	4.65	3.81	5.52	2.71	3.14	2.04	3.71	42.04
PA-08	1916	2.44	2.8	5.2	3.59	3.25	7.93	3.67	3.59	3.99	2.08	1.6	2.71	42.84
PA-08	1917	3.89	1.8	3.68	2.31	3.02	5	4.28	4.18	2.42	5.06	0.53	1.21	37.38
PA-08	1918	3.95	2.61	2.16	4.82	4.61	3.2	2.54	4.93	2.84	3.14	1.44	3.45	39.7
PA-08	1919	2.12	1.95	2.6	2.09	6.05	3.93	4.93	5.3	1.66	4.95	3.45	2.5	41.54
PA-08	1920	2.39	2.77	2.4	4.97	1.93	5.48	3.55	4.76	4.01	1.09	3.87	2.56	39.78
PA-08	1921	2.49	2.32	2.55	2.67	4.75	3.12	4.35	3.84	5.3	1.64	5.83	2.71	41.57
PA-08	1922	2.21	2.18	3.76	2.85	2.64	3.29	3.35	2.26	1.38	2.55	1.03	2.97	30.49
PA-08	1923	3.9	2.27	2.24	3.27	3.29	3.27	5.36	3.2	3.17	1.43	3.13	4.99	39.52
PA-08	1924	4.13	2.74	3.86	3.56	6.75	5.72	3.78	3.1	4.81	0.23	1.46	1.71	41.86
PA-08	1925	3.13	2.02	2.22	2.37	3.42	3.14	4.65	1.63	1.69	5.03	3.31	1.58	34.2
PA-08	1926	3.12	4.11	2.13	1.64	1.36	3.33	3.37	5.5	6.13	3.63	4.01	2.5	40.82
PA-08	1927	2.75	4.18	3.08	4.36	4.07	4.04	4.82	3.5	2.16	6.79	3.98	2.98	46.72
PA-08	1928	1.68	2.72	3.6	6.91	1.57	7.19	5.59	3.2	2.29	1.63	2.22	1.02	39.63
PA-08	1929	2.94	2.52	2.49	6.62	4.62	3.99	1.98	2.43	2.74	7.4	3.17	2.34	43.24
PA-08	1930	1.37	2.58	2.56	2.62	2.04	3.68	1.69	1.46	1.69	0.48	1.04	2.69	23.9
PA-08	1931	1.18	1.93	3.19	3.91	5.99	3.31	5.14	4.38	3.78	1.45	1.51	3.02	38.8
PA-08	1932	3.92	1.67	4.76	1.61	3.61	3.38	3.28	2.57	1.23	4.98	3.87	1.83	36.71
PA-08	1933	2.19	1.91	5.83	4.5	7.56	2.47	4.02	5.87	3.87	1.58	1.42	3.08	44.29
PA-08	1934	2.62	0.84	2.54	2.54	1.71	4.21	3.76	5.02	6.26	1.18	3.51	2.14	36.33
PA-08	1935	3.29	2.68	2.63	2.35	4.03	3.54	5.08	4.2	3.12	2.05	3.05	2.91	38.92
PA-08	1936	4.06	2.43	8.11	3.08	1.7	4.22	3.82	5.43	2.69	4.39	2.15	4	46.08
PA-08	1937	6.01	2.5	1.83	7.06	2.88	3.17	4.04	5.34	2.5	6.52	1.77	2.46	46.06
PA-08	1938	2.24	1.9	3.41	2.13	4.24	3.4	3.59	2.36	3.35	1.2	2.48	1.95	32.27
PA-08	1939	3.1	4.28	3.55	3.75	1.52	5.96	3.74	1.58	2.93	3.58	1.28	1.96	37.23
PA-08	1940	1.47	2.95	4.43	5.13	3.84	4.72	3.22	4.13	2.63	1.6	3.87	2.64	40.63
PA-08	1941	2.5	0.58	1.94	1.99	2.74	5.67	5.06	4.47	1.56	2.3	2.56	3.25	34.62
PA-08	1942	1.68	2.26	4.69	2.54	5.58	4.41	3.48	3.57	3.48	4.87	2.57	4.41	43.57
PA-08	1943	2.95	1.32	2.4	4.18	6.64	2.44	4.63	1.81	0.45	4.07	2.22	1.07	34.19
PA-08	1944	2.44	1.97	5.26	3.96	4.47	4.01	2.56	2.24	2.91	4.14	1.9	3.67	39.52
PA-08	1945	2.5	2.31	4.27	4.27	4.73	3.57	4.28	4.73	6.35	1.79	4.76	2.41	45.97
PA-08	1946	1.34	2.16	3.25	1.12	6.13	7.15	2.94	5.13	3.28	3.98	1.03	2.11	39.62
PA-08	1947	2.98	1.35	1.64	2.42	4.34	3.65	4.57	4.78	1.33	1.18	3.61	1.01	32.85
PA-08	1948	2.66	1.82	3.25	6.53	4.49	6.03	2.91	3.48	1.95	3.68	4.51	4.25	45.56
PA-08	1949	4.13	2.43	1.83	2.83	2.87	2.84	6.91	3.32	2.11	2.51	1.67	3.17	36.62
PA-08	1950	3.79	3.18	3.84	2.19	3.85	2.96	4.08	3.54	4.22	3.85	6.36	3.02	44.86
PA-08	1951	3.74	3.01	4.62	4.4	2.22	6.99	4.94	1.05	1.82	1.39	3.64	4.16	41.99
PA-08	1952	4.03	1.8	4.78	5.35	5.53	2.17	2.73	3.65	3.3	1.44	5.25	2.38	42.42
PA-08	1953	4.21	2.15	5.2	3.55	6.59	2.75	4.21	2.18	2.19	0.7	1.76	2.18	37.66
PA-08	1954	2.08	1.57	4.69	3.38	3.18	4.06	3.58	5.38	3.14	7.17	2.64	3.79	44.69
PA-08	1955	0.8	2.7	5.45	4.09	1.46	4.2	3.2	6.62	2.29	3.67	2.6	0.33	37.39
PA-08	1956	1.91	4.63	4.61	4.21	4.44	3.67	6.43	5.64	3.23	3.08	1.56	4.2	47.62
PA-08	1957	2.18	2.51	2.22	5.01	2	5.2	2	1.11	2.44	2.95	1.81	4.14	33.58
PA-08	1958	3.55	2.17	2.84	3.12	4.69	3.96	5.72	4.5	3.16	1.54	2.68	0.9	38.83
PA-08	1959	3.05	2.37	2.93	4.49	3.19	2.83	4.92	4.51	1.1	5.6	3.76	2.78	41.54
PA-08	1960	2.58	3.57	2.2	2.13	8.21	3.48	4.72	1.89	4.32	1.13	1.75	1.58	37.56
PA-08	1961	2.59	4.16	4.65	5.7	2.66	3.63	3.43	3.58	2.13	1.79	3.19	2.69	40.21
PA-08	1962	2.09	4.24	3.93	4.14	2.45	2.67	2.79	2.4	5.31	2.43	2.43	2.34	37.23
PA-08	1963	1.48	1.7	5.08	1.98	2.27	3.27	3.17	2.13	1.79	0.15	5.18	2.08	30.29
PA-08	1964	3.42	3.04	3.21	6.35	1.05	4.18	3.97	2.42	2.49	0.88	2.53	2.57	36.11
PA-08	1965	3.69	2.49	4.83	2.26	2.18	1.17	1.69	4.44	2.61	3.28	1.84	0.63	31.11
PA-08	1966	3.49	3.89	1.68	3.63	3.41	0.85	1.99	2.44	4.26	1.71	3.53	1.91	32.78
PA-08	1967	1.26	2.01	6.33	3.39	4.99	1.63	5.79	3.69	4.3	3.1	2.12	3.26	41.87
PA-08	1968	1.99	0.38	3.13	1.32	6.56	3.75	1.77	3.03	3.14	2.61	4.14	2.66	34.46
PA-08	1969	1.59	0.96	1.45	2.24	2.2	3.77	5.93	3.7	1.87	2.03	2.97	4.82	33.53
PA-08	1970	1.31	2.36	3.82	4.9	3.27	6.13	5.01	4.82	2.58	3.88	4.86	3.89	46.81
PA-08	1971	3.57	4.59	2.36	0.93	4.34	3.03	4.84	3.69	5.7	2.76	3.29	2.57	41.67
PA-08	1972	2.39	4.42	2.5	5.53	4.67	11.15	2.8	2.59	3.09	2.62	5.18	5.15	52.07
PA-08	1973	2.43	2.68	2.15	5.74	4.44	4.11	2.96	3.68	4.44	3.75	2.35	4.35	43.1
PA-08	1974	3.65	1.24	3.92	2.47	3.78	5.48	3.02	2.41	3.98	1.25	1.91	4.59	37.7
PA-08	1975	3.76	3.13	4.22	3.16	4.01	5.26	2.17	5.33	7.08	3.68	1.91	2.93	46.65
PA-08	1976	3.21	1.98	2.69	1.69	2.86	4.96	3.97	3.1	4.1	8.71	0.78	2.12	40.18
PA-08	1977	1.31	1.51	5.32	3.87	1.64	2.9	7.41	2.96	3.81	4.06	3.46	3.03	41.28
PA-08	1978	6.04	0.7	2.32	2.13	6.14	4.16	4.2	3.86	2.57	1.91	2.11	3.87	40.01
PA-08	1979	5.37	3.36	3.1	3.26	4.57	2.2	5.68	4.74	5.38	4.66	3.46	1.96	47.75
PA-08	1980	1.3	1.1	4.31	4.76	4.33	3.91	5.91	3.43	1.68	2.65	2.98	1.1	37.46
PA-08	1981	0.53	4.76	1.5	4.55	3.72	4.98	4.06	2.16	3.51	4.22	1.12	1.94	37.07
PA-08	1982	3.35	2.7	3.24	2.39	4.07	5.27	3.64	3.22	2.42	1.08	3.07	1.98	36.41
PA-08	1983	1.37	1.91	3.73	5.61	5.5	5.28	0.93	2.55	2.31	4.17	4.06	4.37	41.79
PA-08	1984	1.26	4.15	4.13	4.42	4.36	3.88	3.91	6.17	1.63	2.68	3.49	3.2	43.28
PA-08	1985	1.82	2.47	4.92	1.6	5.19	2.85	4.39	2.52	1.05	3.02	9.26	1.6	40.69
PA-08	1986	1.89	4.06	2.66	2.71	2.56	3.75	3.89	2.06	2.42	3.63	5.1	3.24	37.97
PA-08	1987	2.96	0.8	2.36	5.38	3.55	3.48	3.2	4.1	5.14	1.84	2.67	2.35	37.83
PA-08	1988	1.99	2.5	2.57	2.47	5.42	1.67	3.79	3.57	4.08	1.45	3.81	1.5	34.81
PA-08	1989	2.34	2.57	4.95	1.37	6.6	6.78	7.66	1.3	3.2	3.77	2.5	1.15	44.19
PA-08	1990	3.38	2.1	1.29	2.6	5.49	2.72	4.75	4.4	3.97	6.12	1.58	6.25	44.65
PA-08	1991	2.61	1.77	4.18	2.85	1.82	1.84	2.93	2.27	2.04	1.36	2.9	3.17	29.75
PA-08	1992	1.78	1.96	4.11	2.25	2.89	2.08	5.39	2.98	3.41	0.9	3.73	4.45	35.94
PA-08	1993	1.96	2.31	5.99	7.9	1.83	3.19	3.69	2.62	5.34	2.57	5.22	2.74	45.35
PA-08	1994	4.34	3.4	5.98	2.79	3.57	2.39	3.83	6.66	2.4	0.98	4.22	2.66	43.23
PA-08	1995	3.01	1.71	1.43	2.23	3.88	5.7	2.9	1.49	1.78	5.88	3.97	2.15	36.14
